gene,p-value,R-squared,p.valor_beta0,p.valor_MICH_noPvsB73_noP,p.valor_Time,p.valor_TimexMICH_noP,p.valor_Time2,p.valor_Time2xMICH_noP,p.valor_Time3,p.valor_Time3xMICH_noP
Zm00001eb000320,4.34E-11,0.73176111,2.05E-12,NA,0.001015003,NA,0.01188905,NA,NA,NA
Zm00001eb000690,0.000127375,0.62816347,4.74E-08,0.014529802,0.027771567,0.007269734,NA,0.004611786,0.005162058,NA
Zm00001eb000740,2.24E-07,0.623841293,2.92E-22,NA,5.98E-05,NA,NA,NA,NA,NA
Zm00001eb000750,2.85E-09,0.759380118,4.23E-13,0.0096109,NA,0.006430751,0.006226948,NA,0.018582868,0.013051886
Zm00001eb000850,2.29E-09,0.719830009,4.98E-21,NA,NA,NA,4.62E-06,0.011198573,NA,NA
Zm00001eb001060,2.98E-12,0.659869064,3.08E-07,NA,NA,NA,1.72E-06,NA,NA,NA
Zm00001eb001130,2.95E-06,0.635135484,1.19E-15,0.041729945,0.000693868,NA,NA,NA,0.002721507,NA
Zm00001eb001140,4.91E-31,0.902386986,1.96E-15,NA,NA,NA,0.00053781,0.005846306,0.036161219,NA
Zm00001eb001950,2.21E-12,0.698718353,9.90E-25,NA,NA,NA,1.05E-06,NA,NA,NA
Zm00001eb002190,1.48E-21,0.85944339,5.88E-24,NA,NA,NA,1.40E-08,0.00038525,NA,NA
Zm00001eb002200,1.15E-08,0.652595157,4.49E-13,NA,NA,NA,NA,NA,0.000192505,0.002919294
Zm00001eb002350,0,0.999999978,5.99E-07,2.72E-06,2.61E-06,9.94E-05,3.83E-05,0.000816475,0.000221545,0.003054445
Zm00001eb002390,4.34E-15,0.821440098,1.52E-07,NA,NA,0.034338018,0.000657561,NA,0.007657008,NA
Zm00001eb002590,1.04E-06,0.6449716,2.00E-13,NA,NA,NA,0.005124385,NA,0.020129483,NA
Zm00001eb002620,2.36E-12,0.786206542,4.60E-15,NA,NA,NA,0.000139869,NA,0.001009878,NA
Zm00001eb002750,5.96E-05,0.636313382,0.001785317,0.004065053,0.022817815,NA,0.016139944,NA,0.014036562,NA
Zm00001eb002760,1.10E-10,0.663972399,NA,NA,NA,NA,0.000492921,NA,0.002725479,NA
Zm00001eb002870,1.05E-06,0.6158438,2.50E-11,NA,NA,NA,0.006758935,NA,0.028453086,NA
Zm00001eb002880,0,0.999999978,5.99E-07,2.72E-06,2.61E-06,9.94E-05,3.83E-05,0.000816475,0.000221545,0.003054445
Zm00001eb003080,1.32E-17,0.840272062,0.000165205,NA,0.042837594,NA,0.029651364,NA,0.039824745,NA
Zm00001eb003190,2.71E-05,0.601580716,1.89E-19,NA,NA,NA,0.00877697,0.030158014,0.035103452,NA
Zm00001eb003200,4.51E-07,0.671980395,5.07E-13,NA,0.039799157,NA,0.003988035,0.011872278,NA,NA
Zm00001eb003440,4.95E-07,0.625640685,4.01E-17,NA,NA,NA,0.000541344,NA,0.001903433,NA
Zm00001eb003450,1.86E-09,0.754874158,1.54E-06,NA,NA,NA,0.001083818,0.022758129,0.005575774,0.046717125
Zm00001eb003470,4.39E-06,0.610759887,NA,0.006638252,0.043294538,NA,0.02277573,NA,0.015160237,NA
Zm00001eb003480,1.01E-12,0.794653207,5.60E-15,NA,NA,NA,0.00050132,0.021641143,0.005234546,NA
Zm00001eb003700,1.22E-24,0.82864384,0.000644012,NA,NA,NA,NA,NA,2.20E-06,0.000101032
Zm00001eb003760,2.34E-11,0.788202707,4.13E-13,0.036202207,NA,0.018685751,0.000234323,0.008511688,NA,NA
Zm00001eb003800,0,0.999999985,4.56E-07,2.22E-06,2.14E-06,8.33E-05,3.18E-05,0.000699355,0.000186965,0.002665988
Zm00001eb003810,4.76E-06,0.606950527,7.13E-21,NA,NA,NA,0.000166749,NA,NA,0.021833374
Zm00001eb003880,6.20E-11,0.739037943,1.11E-17,NA,NA,NA,0.000399148,NA,0.002395002,NA
Zm00001eb003890,3.31E-13,0.749596842,1.00E-12,NA,NA,NA,0.000542914,NA,0.004817182,NA
Zm00001eb003950,1.48E-06,0.622610289,6.73E-06,NA,0.000242471,NA,NA,NA,NA,NA
Zm00001eb004050,0.000109576,0.612637896,2.96E-19,0.004382475,NA,0.004089467,0.003556214,NA,NA,0.024272532
Zm00001eb004300,2.15E-08,0.659614808,0.003028694,NA,0.001545994,NA,0.00392857,NA,0.011161738,NA
Zm00001eb004320,2.04E-06,0.633341946,9.56E-14,NA,NA,NA,6.29E-05,0.017060805,NA,NA
Zm00001eb004410,6.29E-11,0.754559272,1.80E-21,NA,NA,NA,2.18E-06,0.016760286,NA,NA
Zm00001eb004430,1.28E-20,0.789152438,1.52E-12,NA,NA,NA,1.25E-07,0.000169724,NA,NA
Zm00001eb004530,0,0.999999957,9.68E-07,3.86E-06,3.71E-06,0.000135289,5.28E-05,0.001066901,0.000297336,0.003859722
Zm00001eb004550,3.02E-07,0.697922046,1.78E-08,NA,0.001195954,NA,0.000508195,0.007401422,NA,NA
Zm00001eb004590,6.29E-13,0.776584644,1.05E-16,NA,NA,NA,1.60E-06,0.000486986,NA,NA
Zm00001eb004670,1.06E-08,0.683920408,9.42E-24,NA,NA,NA,8.28E-06,0.022250888,NA,NA
Zm00001eb004740,6.35E-10,0.672809018,NA,NA,0.035873317,NA,0.00315789,0.003955608,NA,NA
Zm00001eb004760,2.28E-22,0.871118314,6.08E-10,NA,NA,NA,3.71E-05,NA,NA,NA
Zm00001eb005190,1.25E-11,0.795086334,NA,NA,0.026992356,NA,0.01400094,NA,0.013108055,NA
Zm00001eb005330,1.58E-09,0.708588258,1.47E-27,NA,NA,NA,NA,0.001389884,3.98E-06,NA
Zm00001eb005360,3.50E-13,0.777426153,1.67E-08,NA,1.74E-05,NA,0.000154425,NA,NA,NA
Zm00001eb005380,2.46E-07,0.656190057,3.73E-20,NA,NA,NA,0.00268039,NA,0.010894909,NA
Zm00001eb005540,1.78E-13,0.776748366,8.79E-06,NA,NA,NA,0.001844472,NA,NA,NA
Zm00001eb005830,7.68E-12,0.751728151,1.12E-23,NA,NA,NA,1.98E-06,0.026033247,NA,NA
Zm00001eb005900,1.10E-06,0.615445317,3.08E-11,NA,NA,NA,0.006127158,NA,0.024799809,NA
Zm00001eb005920,3.63E-08,0.689085464,1.22E-16,NA,NA,NA,2.59E-05,0.014160708,NA,NA
Zm00001eb006050,1.99E-10,0.733343148,0.021359374,NA,0.013441248,NA,0.024592361,0.010832577,NA,NA
Zm00001eb006180,1.92E-08,0.620760356,NA,NA,2.70E-05,NA,NA,NA,NA,NA
Zm00001eb006200,2.97E-11,0.677625517,0.029292198,NA,NA,NA,0.000359967,NA,NA,NA
Zm00001eb006290,0,0.999999957,9.68E-07,3.86E-06,3.71E-06,0.000135289,5.28E-05,0.001066901,0.000297336,0.003859722
Zm00001eb006300,1.68E-09,0.7606022,1.31E-15,0.007210014,0.010399448,0.010801685,NA,0.01124853,NA,NA
Zm00001eb006390,1.55E-10,0.751740624,1.13E-17,NA,NA,NA,0.00460235,0.005376691,0.038979033,NA
Zm00001eb006620,2.32E-08,0.677449356,1.80E-13,NA,0.000804599,NA,NA,NA,0.028654006,NA
Zm00001eb006830,7.30E-20,0.851293831,2.27E-22,NA,NA,NA,3.96E-08,0.005002195,NA,NA
Zm00001eb006860,6.63E-17,0.813187396,NA,0.032657113,NA,NA,0.000731314,NA,0.002551276,NA
